projectId,projectAcronym,fundingScheme,organizationId,title,firstName,lastName
650216,OntoPerson,MSCA-IF,999598678,DR,Mariusz,Grygianiec
652745,AUTOOLIGO,MSCA-IF,999990267,MS,Petra,Menova
652755,MOLECOPS,MSCA-IF,99998435,DR,Julien,Brachet
652757,ARCGATE,MSCA-IF,999497507,DR,Takamasa,Tsubouchi
652782,FOSICAV,MSCA-IF,999844864,DR,Thomas,Dedieu
652837,ISOTOP,MSCA-IF,999905101,DR,Benno,Rem
652856,CLEANLIB,MSCA-IF,999991722,DR,Hervé,Baudry
652862,IMPRECSIM,MSCA-IF,999988812,DR,Darius,Markauskas
652871,FIBERSTAR,MSCA-IF,999899572,DR,Daniele,Tosi
652890,EMTECS,MSCA-IF,999974262,DR,Yahui,Wang
652925,MIGRANTCHRISTIANITY,MSCA-IF,999902385,DR,Francesca,Scrinzi
652938,TELE,MSCA-IF,999838074,DR,Eleftherios,Giovanis
652965,Bio-Strategies,MSCA-IF,999642037,DR,Araceli,Perez-Sanz
652978,LIAGAN,MSCA-IF,909875521,PROF,Atinati,Mamatsashvili-Kobakhidze
652978,LIAGAN,MSCA-IF,998096051,PROF,Atinati,Mamatsashvili-Kobakhidze
652986,STEMCELLTRACK,MSCA-IF,99998435,DR,Christakis,Constantinides
652999,COMBPDCHEMOTHERAPY,MSCA-IF,903730668,DR,Marta Erminia,Alberto
652999,COMBPDCHEMOTHERAPY,MSCA-IF,997732592,DR,Marta Erminia,Alberto
653019,CEREBSENSING,MSCA-IF,999882015,DR,Jesus,Garrido
653040,CONFAM,MSCA-IF,999841275,DR,Mariano,Croce
653056,EMEHOC,MSCA-IF,99997562,DR,María José,Frápolli
653066,PGE-PLANETS,MSCA-IF,99986601,DR,Amy,Riches
653184,MPerS,MSCA-IF,99998435,DR,Pabitra Kumar,Nayak
653188,GLASS,MSCA-IF,999994826,DR,Anna,Hodgkinson
653216,MICEXPRESS,MSCA-IF,999974941,DR,Noelia,Ibáñez
653223,USIFlux,MSCA-IF,999993274,DR,Teresa,Gimeno
653240,STRESSAGED,MSCA-IF,999990267,DR,Antonios,Zannas
653241,OMNICS,MSCA-IF,999991043,DR,Yi,Yang
653284,GelSwimming,MSCA-IF,99998435,DR,Andreas,Zoettl
653285,METACLOAK,MSCA-IF,999993468,DR,Andrea,Colombi
653354,CERAM,MSCA-IF,999978336,DR,Miriam,Cubas
653412,Flex-ON,MSCA-IF,999977754,MR,Fernando,Guiomar
653413,INNOVATIONOPTIONS,MSCA-IF,998096827,PROF,Lenos,Trigeorgis
653413,INNOVATIONOPTIONS,MSCA-IF,999981052,PROF,Lenos,Trigeorgis
653434,MitSyn,MSCA-IF,99997562,DR,Nicoletta,Plotegher
653443,FUDOGE,MSCA-IF,999994826,DR,Maiko,Favaro
653508,Phil-Threats,MSCA-IF,999991722,DR,Eberhard,Crailsheim
653639,KMET-READ,MSCA-IF,999974747,DR,Agnieszka,Rawłuszko-Wieczorek
653667,REAPPAST,MSCA-IF,967062453,DR,Francesca,Romagnoli
653697,CP-FunMoD,MSCA-IF,999841954,DR,Jodie,Davies-Thompson
653697,CP-FunMoD,MSCA-IF,999976978,DR,Jodie,Davies-Thompson
653750,CIP,MSCA-IF,99987862,DR,Sibylle,Petersen
653784,OrganoMag,MSCA-IF,99990384,DR,Fu-Sheng,Guo
653846,Fractional,MSCA-IF,99946734,DR,Adolfo,González Grushin
653846,Fractional,MSCA-IF,99998435,DR,Adolfo,González Grushin
653846,Fractional,MSCA-IF,99999793,DR,Adolfo,González Grushin
653943,Moments,MSCA-IF,999861451,DR,Zoltan,Leka
653950,URBANCO2FLUX,MSCA-IF,99946734,DR,Gara,Villalba
653950,URBANCO2FLUX,MSCA-IF,999986484,DR,Gara,Villalba
653957,DEVOLEMPA,MSCA-IF,999994535,DR,Sonja,Koski
653963,Aggregation selection,MSCA-IF,906446474,DR,Greet,De Baets
653963,Aggregation selection,MSCA-IF,99999017,DR,Greet,De Baets
653997,PRDM9Recomb,MSCA-IF,999977172,DR,Ericca,Stamper
654006,SalHyd5,MSCA-IF,999975523,DR,Marta,Albareda Contreras
654019,OTULINVIVO,MSCA-IF,906446474,DR,Rune Busk,Damgaard
654019,OTULINVIVO,MSCA-IF,99999017,DR,Rune Busk,Damgaard
654020,STRATNARRA,MSCA-IF,955856431,DR,Joanna,Szostek
654020,STRATNARRA,MSCA-IF,999861451,DR,Joanna,Szostek
654034,SCIMOD,MSCA-IF,999861063,DR,Fiora,Salis
654038,DecoMP_ECoG,MSCA-IF,999466467,DR,Jessica,Schrouff
654038,DecoMP_ECoG,MSCA-IF,99997562,DR,Jessica,Schrouff
654091,CO2NOR,MSCA-IF,999835843,DR,Ioannis,Rigopoulos
654101,EntreLab,MSCA-IF,999994535,DR,Daniele,Morselli
654123,GRENHAS,MSCA-IF,999980373,DR,Ayca,Ozcelikkale
654132,VULCAN,MSCA-IF,936777695,DR,César,Plaza
654132,VULCAN,MSCA-IF,999886283,DR,César,Plaza
654135,BIOCONT6SS,MSCA-IF,999993468,DR,Patricia,Bernal
654147,Invisibilia,MSCA-IF,999991043,DR,Astrid,Marner
654154,KGBVIFEF,MSCA-IF,99998435,MR,Benjamin,Vollmer
654155,LIMB NETWORKS,MSCA-IF,936821248,DR,Borja,Esteve-Altava
654155,LIMB NETWORKS,MSCA-IF,99984079,DR,Borja,Esteve-Altava
654173,PWP,MSCA-IF,999978724,DR,Christopher,Brittain
654175,HNSKMAP,MSCA-IF,999851169,DR,Tao,Xiong
654175,HNSKMAP,MSCA-IF,999902579,DR,Tao,Xiong
654189,METRES,MSCA-IF,968815728,DR,Jaume,Freire-gonzález
654189,METRES,MSCA-IF,992204077,DR,Jaume,Freire-gonzález
654198,NONNH,MSCA-IF,99999793,DR,Wahidur,Rahaman
654260,FLUNOVELTY,MSCA-IF,97511646,DR,Pavel,Mykhailiuk
654261,ToEfDeCo,MSCA-IF,999975911,DR,Anneli,Soo
654294,TentaclesOfVenom,MSCA-IF,999975038,DR,Kartik,Sunagar
654318,FLOWLASER,MSCA-IF,999974165,MR,Takahiro,Ukai
654339,QUTEMAG,MSCA-IF,999619436,DR,RICARDO,Jimenez Martinez
654386,FUTURES,MSCA-IF,999994535,DR,Arthur,Mason
654424,SustBracedMHaz,MSCA-IF,999976784,DR,Christoforos,Dimopoulos
654426,EQRESFRAME,MSCA-IF,999976784,DR,Fabio,Freddi
654467,HierTough,MSCA-IF,999993468,MR,Yentl,Swolfs
654469,ARTE,MSCA-IF,99947316,DR,Deung-Jang,Choi
654477,GETUI,MSCA-IF,9343202,DR,Dimitra,Anastasiou
654490,GREAT,MSCA-IF,99998435,DR,Marina,Logares
654492,UACSURF,MSCA-IF,999984156,MR,Felix,Pithan
654495,MUIMME,MSCA-IF,999883858,DR,Tanya,Cassidy
654496,NanoCytox,MSCA-IF,999507692,DR,Ana,Lopez-serrano
654513,G-Valve,MSCA-IF,93696248,DR,Sandra,Loerakker
654513,G-Valve,MSCA-IF,999977269,DR,Sandra,Loerakker
654521,MOSUDO,MSCA-IF,99999793,DR,Randy,Mellaerts
654532,NANO-Q,MSCA-IF,999866883,DR,James,Millen
654534,PREDICTIVEMEMORY,MSCA-IF,999886574,DR,Iiro,Jaaskelainen
654603,FLYELEC,MSCA-IF,99999793,DR,Shintaro,TAKADA
654606,NANOGRANITES,MSCA-IF,999849132,DR,Antonio,Acosta-vigil
654606,NANOGRANITES,MSCA-IF,999995602,DR,Antonio,Acosta-vigil
654609,germcells,MSCA-IF,999976978,DR,Priscila,Ramos ibeas
654615,EVOPRIMPOL,MSCA-IF,999991722,DR,Rubén,Agudo torres
654682,HOLES,MSCA-IF,999993468,DR,Jaime,Martín
654688,ActiDoC,MSCA-IF,999974941,DR,Nikolaos Nektarios,Koumakis
654691,RESCUE THE HEART,MSCA-IF,99997562,DR,Svetlana,Mastitskaya
654699,OPSINEVOL,MSCA-IF,99997562,DR,Natasha,Bloch
654712,SINHOPSI,MSCA-IF,999977172,DR,Alessandro,Rossi
654719,lincPeptEvolDev,MSCA-IF,999979306,DR,Miriam,Rosenberg
654721,GEOGRAL,MSCA-IF,999487807,DR,Giovanni,Moreno
654723,Solarfuels,MSCA-IF,99998435,DR,Jindui,Hong
654724,GROUPCOG,MSCA-IF,99998435,DR,Takao,Sasaki
