projectRcn,projectID,participationId,projectAcronym,role,id,name,shortName,activityType,endOfParticipation,ecContribution,country,street,city,postCode
218672,813547,813547914245177,MIDA,partner,914245177,CASA ARABE E INSTITUTO INTERNACIONAL DE ESTUDIOS ARABES Y DEL MUNDO MUSULMAN,Casa Árabe,PUB,false,,ES,ALCALA 62,MADRID,28009
218672,813547,813547999985708,MIDA,participant,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,265619.88,NL,SPUI 21,AMSTERDAM,1012WX
218672,813547,813547992560067,MIDA,partner,992560067,UNIVERSITAT ERFURT,UE,HES,false,,DE,NORDHAUSER STRASSE 63,ERFURT,99089
224714,860665,860665998771171,PERFORCE3,participant,998771171,BUNDESINSTITUT FUER RISIKOBEWERTUNG,BFR,REC,false,252788.4,DE,MAX DOHRN STRASSE 8-10,BERLIN,10589
224714,860665,860665999874643,PERFORCE3,participant,999874643,UNIVERSITETET I TROMSOE NORGES ARKTISKE UNIVERSITET,UiT,HES,false,292342.32,NO,HANSINE HANSENS VEG 14,TROMSO,9019
224714,860665,860665996219683,PERFORCE3,participant,996219683,HOCHSCHULE FRESENIUS GEMEINNUTZIGEGMBH,HSF,HES,false,252788.4,DE,LIMBURGER STRASSE 2,IDSTEIN,65510
224714,860665,860665954530344,PERFORCE3,participant,954530344,STICHTING VU,STICHTING VU,HES,false,265619.88,NL,DE BOELELAAN 1105,AMSTERDAM,1081 HV
224714,860665,860665999994632,PERFORCE3,participant,999994632,HELMHOLTZZENTRUM FUR UMWELTFORSCHUNG GMBH UFZ,UFZ,OTH,false,252788.4,DE,PERMOSERSTRASSE 15,LEIPZIG,04318
224714,860665,860665999907526,PERFORCE3,participant,999907526,THE UNIVERSITY OF BIRMINGHAM,UoB,HES,false,303172.56,UK,Edgbaston,BIRMINGHAM,B15 2TT
224714,860665,860665999654162,PERFORCE3,participant,999654162,NORSK INSTITUTT FOR LUFTFORSKNING STIFTELSE,NILU,REC,false,292342.32,NO,INSTITUTTVEIEN 18,KJELLER,2027
224714,860665,860665999887350,PERFORCE3,participant,999887350,SVERIGES LANTBRUKSUNIVERSITET,SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES,HES,false,281982.96,SE,ALMAS ALLE 8,UPPSALA,750 07
224714,860665,860665999979015,PERFORCE3,participant,999979015,EIDGENOESSISCHE TECHNISCHE HOCHSCHULE ZUERICH,ETH Zürich,HES,false,281276.64,CH,Raemistrasse 101,ZUERICH,8092
224714,860665,860665998866522,PERFORCE3,participant,998866522,STIFTELSEN NORGES GEOTEKNISKE INSTITUTT,NGI,OTH,false,292342.32,NO,Sognsveien 72,OSLO,N-0855
224714,860665,860665998941406,PERFORCE3,participant,998941406,GE HEALTHCARE BIOSCIENCES AB,GEHC,PRC,true,281982.96,SE,BJORKGATAN 30,UPPSALA,751 84
224714,860665,860665999978530,PERFORCE3,participant,999978530,KAROLINSKA INSTITUTET,KI,HES,false,281982.96,SE,Nobels Vag 5,STOCKHOLM,17177
224714,860665,860665999985708,PERFORCE3,participant,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,265619.88,NL,SPUI 21,AMSTERDAM,1012WX
224714,860665,860665999885022,PERFORCE3,coordinator,999885022,STOCKHOLMS UNIVERSITET,SU,HES,false,563965.92,SE,UNIVERSITETSVAGEN 10,STOCKHOLM,10691
196589,659193,659193999985708,Evolutionary Neurogenomics,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,177598.8,NL,SPUI 21,AMSTERDAM,1012WX
228699,898537,898537999985708,Shaping the conflict,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,187572.48,NL,SPUI 21,AMSTERDAM,1012WX
209797,749510,749510999985708,NucLoc,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,165598.8,NL,SPUI 21,AMSTERDAM,1012WX
220288,811285,811285999985708,Atlas,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,150000,NL,SPUI 21,AMSTERDAM,1012WX
222922,845119,845119999985708,MeNDD,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,175572.48,NL,SPUI 21,AMSTERDAM,1012WX
204712,679399,679399954530344,PERCEPT,coordinator,954530344,STICHTING VU,STICHTING VU,HES,false,924938,NL,DE BOELELAAN 1105,AMSTERDAM,1081 HV
204712,679399,679399999985708,PERCEPT,participant,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,true,575000,NL,SPUI 21,AMSTERDAM,1012WX
197940,671653,671653999977172,EXTRA,participant,999977172,THE CHANCELLOR MASTERS AND SCHOLARSOF THE UNIVERSITY OF CAMBRIDGE,UCAM,HES,false,298406,UK,TRINITY LANE THE OLD SCHOOLS,CAMBRIDGE,CB2 1TN
197940,671653,671653999993468,EXTRA,participant,999993468,IMPERIAL COLLEGE OF SCIENCE TECHNOLOGY AND MEDICINE,Imperial,HES,false,559080,UK,SOUTH KENSINGTON CAMPUS EXHIBITION ROAD,LONDON,SW7 2AZ
197940,671653,671653999986096,EXTRA,coordinator,999986096,UNIVERSITEIT GENT,UGent,HES,false,530296,BE,SINT PIETERSNIEUWSTRAAT 25,GENT,9000
197940,671653,671653999611094,EXTRA,participant,999611094,EREVNITIKO PANEPISTIMIAKO INSTITOUTO TILEPIKONONIAKON SYSTIMATON,TELECOMMUNICATION SYSTEMS INSTITUTE,REC,false,420000,EL,KOUNOUPIDIANA AKROTIRIO TUC CAMPUS,CHANIA,73100
197940,671653,671653999668227,EXTRA,participant,999668227,SYNELIXIS LYSEIS PLIROFORIKIS AUTOMATISMOU & TILEPIKOINONION ANONIMI ETAIRIA,SYNELIXIS,PRC,false,305812.5,EL,FARMAKIDOU 10,CHALKIDA,34100
197940,671653,671653999988812,EXTRA,participant,999988812,RUHRUNIVERSITAET BOCHUM,RUHR-UNIVERSITAET BOCHUM,HES,false,476250,DE,UNIVERSITAETSSTRASSE 150,BOCHUM,44801
197940,671653,671653999879881,EXTRA,participant,999879881,POLITECNICO DI MILANO,POLIMI,HES,false,451250,IT,PIAZZA LEONARDO DA VINCI 32,MILANO,20133
197940,671653,671653968922816,EXTRA,participant,968922816,MAXELER TECHNOLOGIES LIMITED,Maxeler Technologies Limited,PRC,false,415000,UK,3 & 4 ALBION PLACE,LONDON,W6 0QT
197940,671653,671653999985708,EXTRA,participant,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,533836,NL,SPUI 21,AMSTERDAM,1012WX
228666,894547,894547992204077,MARMIGSEX,partner,992204077,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,OFFICE FOR SPONSORED PROGRAMS,HES,false,,US,MASSACHUSETTS AVENUE 1350,CAMBRIDGE,02138
228666,894547,894547999985708,MARMIGSEX,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,271052.16,NL,SPUI 21,AMSTERDAM,1012WX
224977,857897,857897999985611,e-LADDA,participant,999985611,UNIVERSITY OF EAST ANGLIA,UEA,HES,false,303172.56,UK,EARLHAM ROAD,NORWICH,NR4 7TJ
224977,857897,857897930638759,e-LADDA,participant,930638759,FURHAT ROBOTICS AB,FURHAT ROBOTICS,PRC,false,281982.96,SE,LINDSTEDTSVAGEN 24 TR 5,STOCKHOLM,114 28
224977,857897,857897942705268,e-LADDA,participant,942705268,SIA DATORZINIBU CENTRS,DZC,PRC,false,230068.44,LV,LACPLESA IELA 41,RIGA,1011
224977,857897,857897999903840,e-LADDA,participant,999903840,THE UNIVERSITY OF MANCHESTER,UNIVERSITY OF MANCHESTER,HES,false,303172.56,UK,OXFORD ROAD,MANCHESTER,M13 9PL
224977,857897,857897999845640,e-LADDA,participant,999845640,GEORGAUGUSTUNIVERSITAT GOTTINGENSTIFTUNG OFFENTLICHEN RECHTS,UGOE,HES,false,505576.8,DE,WILHELMSPLATZ 1,GOTTINGEN,37073
224977,857897,857897916111166,e-LADDA,participant,916111166,SPONGE UK LIMITED,SpongeUK,PRC,false,303172.56,UK,9 RESEARCH WAY DERRIFORD,PLYMOUTH,PL6 8BT
224977,857897,857897999840984,e-LADDA,participant,999840984,UNIVERSITY OF LANCASTER,Lancaster University,HES,false,303172.56,UK,BAILRIGG,LANCASTER,LA1 4YW
224977,857897,857897999894916,e-LADDA,participant,999894916,UNIVERSIDADE DO PORTO,UPORTO,HES,false,237720.24,PT,PRACA GOMES TEIXEIRA,PORTO,4099 002
224977,857897,857897999977851,e-LADDA,coordinator,999977851,NORGES TEKNISKNATURVITENSKAPELIGE UNIVERSITET NTNU,NTNU,HES,false,584684.64,NO,HOGSKOLERINGEN 1,TRONDHEIM,7491
224977,857897,857897999985708,e-LADDA,participant,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,265619.88,NL,SPUI 21,AMSTERDAM,1012WX
224977,857897,857897999862518,e-LADDA,participant,999862518,UNIVERSIDAD DE SEVILLA,USE,HES,false,501809.76,ES,CALLE S. FERNANDO 4,SEVILLA,41004
208712,751924,751924999985708,ConscriptedVolunteer,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,165598.8,NL,SPUI 21,AMSTERDAM,1012WX
228741,898538,898538992204077,Social Housing,partner,992204077,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,OFFICE FOR SPONSORED PROGRAMS,HES,false,,US,MASSACHUSETTS AVENUE 1350,CAMBRIDGE,02138
228741,898538,898538999985708,Social Housing,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,253052.16,NL,SPUI 21,AMSTERDAM,1012WX
227004,853133,853133999985708,Worlds of Lithium,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,1500000,NL,SPUI 21,AMSTERDAM,1012WX
199996,693289,693289938832931,CoHERE,participant,938832931,MUZEUM HISTORII ZYDOW POLSKICH POLIN,POLIN,PUB,false,79617.5,PL,UL. MORDECHAJA ANIELEWICZA 6,WARSZAWA,00 157
199996,693289,693289999997736,CoHERE,participant,999997736,AARHUS UNIVERSITET,AU,HES,false,192927.5,DK,NORDRE RINGGADE 1,AARHUS C,8000
199996,693289,693289997830077,CoHERE,participant,997830077,ISTANBUL BILGI UNIVERSITESI,BILGI,HES,false,180931.25,TR,KAZIM KARABEKIR CAD 213 ISTANBUL ESKI SILAHTARAGA ELEKTRIK SANTRALI SANTRAISTANBUL KAMPUSU,EYUP ISTANBUL,34060
199996,693289,693289999643007,CoHERE,participant,999643007,ETHNIKO KAI KAPODISTRIAKO PANEPISTIMIO ATHINON,NKUA,HES,false,184211.25,EL,6 CHRISTOU LADA STR,ATHINA,10561
199996,693289,693289986216946,CoHERE,participant,986216946,Copenhagen Institute of Interaction Design,CIID,PRC,false,225296.09,DK,TOLDBODGADE 37B,KOBENHAVN,1253
199996,693289,693289999985417,CoHERE,coordinator,999985417,UNIVERSITY OF NEWCASTLE UPON TYNE,UNEW,HES,false,832594.41,UK,KINGS GATE,NEWCASTLE UPON TYNE,NE1 7RU
199996,693289,693289951097029,CoHERE,participant,951097029,STICHTING NATIONAAL MUSEUM VAN WERELDCULTUREN,SNMW,REC,false,79742.5,NL,STEENSTRAAT 1,LEIDEN,2312 BS
199996,693289,693289999853400,CoHERE,participant,999853400,HERIOTWATT UNIVERSITY,HWU,HES,false,234286.25,UK,Riccarton,EDINBURGH,EH14 4AS
199996,693289,693289948719171,CoHERE,participant,948719171,EUROPEES NETWERK CULTURELE CENTRA IVZW,ENCC,OTH,false,20680,BE,VAN OVERBEKELAAN 164,BRUSSELS,1083
199996,693289,693289999993953,CoHERE,participant,999993953,ALMA MATER STUDIORUM UNIVERSITA DI BOLOGNA,UNIBO,HES,false,160961.25,IT,VIA ZAMBONI 33,BOLOGNA,40126
199996,693289,693289949269549,CoHERE,participant,949269549,LATVIJAS KULTURAS AKADEMIJA,LKA,HES,false,150411.25,LV,LUDZAS IELA 24,Riga,LV1003
199996,693289,693289999985708,CoHERE,participant,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,157992.5,NL,SPUI 21,AMSTERDAM,1012WX
209582,748463,748463999985708,CONPLEX,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,165598.8,NL,SPUI 21,AMSTERDAM,1012WX
222460,844285,844285999985708,EpiEcoMod,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,187572.48,NL,SPUI 21,AMSTERDAM,1012WX
226821,864145,864145999985708,ZETA-FM,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,2000000,NL,SPUI 21,AMSTERDAM,1012WX
221876,822625,822625992842046,ADMIGOV,participant,992842046,ADDIS ABABA UNIVERSITY,ADDIS ABABA UNIVERSITY,HES,false,41414,ET,ADDIS ABABA UNIVERSITY,ADDIS ABABA,1176
221876,822625,822625968762669,ADMIGOV,participant,968762669,STICHTING NEDERLANDS INSTITUUT VOOR INTERNATIONALE BETREKKINGEN CLINGENDAEL,CLINGENDAEL,REC,false,116877.5,NL,CLINGENDAEL 7,S-GRAVENHAGE,2597 VH
221876,822625,822625999845155,ADMIGOV,participant,999845155,UNIWERSYTET WROCLAWSKI,UWr,HES,false,73646.96,PL,PL UNIWERSYTECKI 1,WROCLAW,50137
221876,822625,822625998331082,ADMIGOV,participant,998331082,American University of Beirut,AUB,HES,false,75443.38,LB,BLISS STREET,BEIRUT,1107 2020
221876,822625,822625974024434,ADMIGOV,participant,974024434,DANSK FLYGTNINGEHJAELP FORENING,DRC,OTH,false,362978,DK,BORGERGADE 10,KOBENHAVN K,1300
221876,822625,822625999975911,ADMIGOV,participant,999975911,UNIVERSITEIT MAASTRICHT,MU-ICIS,HES,false,218632,NL,Minderbroedersberg 4-6,MAASTRICHT,6200 MD
221876,822625,822625999986290,ADMIGOV,participant,999986290,UNIVERSITE LIBRE DE BRUXELLES,ULB,HES,false,200345,BE,AVENUE FRANKLIN ROOSEVELT 50,BRUXELLES,1050
221876,822625,822625999901512,ADMIGOV,participant,999901512,KOC UNIVERSITY,KU,HES,false,280350.89,TR,RUMELI FENERI YOLU SARIYER,ISTANBUL,34450
221876,822625,822625999986387,ADMIGOV,participant,999986387,UNIVERSITAT DE BARCELONA,UB,HES,false,120885.84,ES,GRAN VIA DE LES CORTS CATALANES 585,BARCELONA,08007
221876,822625,822625999793939,ADMIGOV,participant,999793939,CENTRE D'INFORMACIO I DOCUMENTACIO INTERNACIONALS A BARCELONA,CIDOB (Barcelona Centre for International Affairs),REC,false,172375,ES,CALLE ELISABETS 12,BARCELONA,08001
221876,822625,822625999840693,ADMIGOV,participant,999840693,PANEPISTIMIO AIGAIOU,UNIVERSITY OF THE AEGEAN,HES,false,235412.5,EL,LOFOS PANEPISTIMIOU,MYTILINI,81100
221876,822625,822625999904034,ADMIGOV,participant,999904034,AALBORG UNIVERSITET,AAU,HES,false,201875,DK,FREDRIK BAJERS VEJ 7K,AALBORG,9220
221876,822625,822625999985708,ADMIGOV,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,688633.93,NL,SPUI 21,AMSTERDAM,1012WX
198618,647314,647314999985708,Becoming Men,coordinator,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,1999830,NL,SPUI 21,AMSTERDAM,1012WX
231066,955956,955956935357421,RAPTOR,participant,935357421,MEDPHOTON GMBH,,PRC,false,264207.24,AT,KAROLINGERSTRASSE 16,SALZBURG,5020
231066,955956,955956999989976,RAPTOR,participant,999989976,MEDIZINISCHE UNIVERSITAET WIEN,MUW,HES,false,264207.24,AT,SPITALGASSE 23,WIEN,1090
231066,955956,955956999997736,RAPTOR,participant,999997736,AARHUS UNIVERSITET,AU,HES,false,297522,DK,NORDRE RINGGADE 1,AARHUS C,8000
231066,955956,955956991562034,RAPTOR,participant,991562034,COSYLAB LABORATORIJ ZA KONTROLNE SISTEME DD,COSYLAB,PRC,false,239956.92,SI,GERBIČEVA ULICA 64,LJUBLJANA,1000
231066,955956,955956999978433,RAPTOR,participant,999978433,LUDWIGMAXIMILIANSUNIVERSITAET MUENCHEN,LMU MUENCHEN,HES,false,252788.4,DE,GESCHWISTER SCHOLL PLATZ 1,MUENCHEN,80539
231066,955956,955956999914801,RAPTOR,participant,999914801,ACADEMISCH ZIEKENHUIS GRONINGEN,UNIVERSITAIR MEDISCH CENTRUM GRONINGEN,HES,false,531239.76,NL,HANZEPLEIN 1,GRONINGEN,9713 GZ
231066,955956,955956999995214,RAPTOR,participant,999995214,GSI HELMHOLTZZENTRUM FUER SCHWERIONENFORSCHUNG GMBH,GSI,OTH,false,252788.4,DE,PLANCKSTRASSE 1,DARMSTADT,64291
231066,955956,955956999879881,RAPTOR,participant,999879881,POLITECNICO DI MILANO,POLIMI,HES,false,261499.68,IT,PIAZZA LEONARDO DA VINCI 32,MILANO,20133
231066,955956,955956986082213,RAPTOR,participant,986082213,RAYSEARCH LABORATORIES AB (PUBL),RSL,PRC,false,281982.96,SE,SVEAVAGEN 25,STOCKHOLM,111 34
231066,955956,955956999994923,RAPTOR,coordinator,999994923,PAUL SCHERRER INSTITUT,PSI,REC,false,562553.28,CH,FORSCHUNGSTRASSE 111,VILLIGEN PSI,5232
231066,955956,955956999923240,RAPTOR,participant,999923240,UNIVERZA V LJUBLJANI,UL,HES,false,239956.92,SI,KONGRESNI TRG 12,LJUBLJANA,1000
231066,955956,955956999985708,RAPTOR,participant,999985708,UNIVERSITEIT VAN AMSTERDAM,UvA,HES,false,265619.88,NL,SPUI 21,AMSTERDAM,1012WX
231066,955956,955956999897729,RAPTOR,participant,999897729,TECHNISCHE UNIVERSITAET DRESDEN,TUD,HES,false,252788.4,DE,HELMHOLTZSTRASSE 10,DRESDEN,01069
212968,777682,777682999990849,CANCER,participant,999990849,ACADEMISCH ZIEKENHUIS LEIDEN,Leiden University Medical Center,HES,false,162000,NL,ALBINUSDREEF 2,LEIDEN,2333 ZA
212968,777682,777682998766709,CANCER,participant,998766709,MEDRESMEDICAL RESEARCH GMBH,MEDRES,PRC,false,108000,DE,GLEUELER STRASSE 50,KOLN,50931
212968,777682,777682999976881,CANCER,participant,999976881,THE UNIVERSITY OF SHEFFIELD,USFD,HES,false,108000,UK,FIRTH COURT WESTERN BANK,SHEFFIELD,S10 2TN
212968,777682,777682999553864,CANCER,coordinator,999553864,PERCUROS BV,PERCUROS BV,PRC,false,378000,NL,PLESMANLAAN 1,LEIDEN,2333 BZ
212968,777682,777682951172786,CANCER,participant,951172786,JENACELL GMBH,JENA,PRC,false,108000,DE,GOSCHWITZER STR. 22,JENA,07745
212968,777682,777682940604345,CANCER,participant,940604345,TECOBIOSCIENCES GMBH,TECOB,PRC,false,162000,DE,BUSSARDSTRASSE 35,LANDSHUT,84036
212968,777682,777682935451123,CANCER,participant,935451123,ASSOCIAZIONE CULTURALE CASTELLI ROMANI GREEN TOUR,CRGT,OTH,false,54000,IT,VIA DEL PARCO 3,ARICCIA,00072
212968,777682,777682999845737,CANCER,participant,999845737,UNIVERSITA DEGLI STUDI DI CAMERINO,UNICAM,HES,false,108000,IT,PIAZZA CAVOUR 19F,CAMERINO,62032
212968,777682,777682913053241,CANCER,participant,913053241,BOSCHIVA MELCHIORRI SRL,BOSCHIVA,PRC,false,108000,IT,VIA DI BARBAROSSA 18,ROCCA DI PAPA,00040
212968,777682,777682999975911,CANCER,participant,999975911,UNIVERSITEIT MAASTRICHT,MU-ICIS,HES,false,108000,NL,Minderbroedersberg 4-6,MAASTRICHT,6200 MD
212968,777682,777682900073186,CANCER,participant,900073186,HELRIK AND LOUW AND PARTNERS COMPANY LTD,HEL2,PRC,false,162000,UK,72 GREAT SUFFOLK STREET,LONDON,SE1 0BL
