projectId,projectAcronym,fundingScheme,organizationId,title,firstName,fullName,lastName
654155,LIMB NETWORKS,MSCA-IF,99984079,DR,Borja,Borja Esteve-Altava,Esteve-Altava
654173,PWP,MSCA-IF,999978724,DR,Christopher,Christopher Brittain,Brittain
654175,HNSKMAP,MSCA-IF,999851169,DR,Tao,Tao Xiong,Xiong
654175,HNSKMAP,MSCA-IF,999902579,DR,Tao,Tao Xiong,Xiong
654189,METRES,MSCA-IF,968815728,DR,Jaume,Jaume Freire-gonzález,Freire-gonzález
654189,METRES,MSCA-IF,992204077,DR,Jaume,Jaume Freire-gonzález,Freire-gonzález
654198,NONNH,MSCA-IF,99999793,DR,Wahidur,Wahidur Rahaman,Rahaman
654260,FLUNOVELTY,MSCA-IF,97511646,DR,Pavel,Pavel Mykhailiuk,Mykhailiuk
654261,ToEfDeCo,MSCA-IF,999975911,DR,Anneli,Anneli Soo,Soo
654294,TentaclesOfVenom,MSCA-IF,999975038,DR,Kartik,Kartik Sunagar,Sunagar
654318,FLOWLASER,MSCA-IF,999974165,MR,Takahiro,Takahiro Ukai,Ukai
654339,QUTEMAG,MSCA-IF,999619436,DR,RICARDO,RICARDO Jimenez Martinez,Jimenez Martinez
654386,FUTURES,MSCA-IF,999994535,DR,Arthur,Arthur Mason,Mason
654424,SustBracedMHaz,MSCA-IF,999976784,DR,Christoforos,Christoforos Dimopoulos,Dimopoulos
654426,EQRESFRAME,MSCA-IF,999976784,DR,Fabio,Fabio Freddi,Freddi
654467,HierTough,MSCA-IF,999993468,MR,Yentl,Yentl Swolfs,Swolfs
654469,ARTE,MSCA-IF,99947316,DR,Deung-Jang,Deung-Jang Choi,Choi
654477,GETUI,MSCA-IF,9343202,DR,Dimitra,Dimitra Anastasiou,Anastasiou
654490,GREAT,MSCA-IF,99998435,DR,Marina,Marina Logares,Logares
654492,UACSURF,MSCA-IF,999984156,MR,Felix,Felix Pithan,Pithan
654495,MUIMME,MSCA-IF,999883858,DR,Tanya,Tanya Cassidy,Cassidy
654496,NanoCytox,MSCA-IF,999507692,DR,Ana,Ana Lopez-serrano,Lopez-serrano
654513,G-Valve,MSCA-IF,93696248,DR,Sandra,Sandra Loerakker,Loerakker
654513,G-Valve,MSCA-IF,999977269,DR,Sandra,Sandra Loerakker,Loerakker
654521,MOSUDO,MSCA-IF,99999793,DR,Randy,Randy Mellaerts,Mellaerts
654532,NANO-Q,MSCA-IF,999866883,DR,James,James Millen,Millen
654534,PREDICTIVEMEMORY,MSCA-IF,999886574,DR,Iiro,Iiro Jaaskelainen,Jaaskelainen
654603,FLYELEC,MSCA-IF,99999793,DR,Shintaro,Shintaro TAKADA,TAKADA
654606,NANOGRANITES,MSCA-IF,999849132,DR,Antonio,Antonio Acosta-vigil,Acosta-vigil
654606,NANOGRANITES,MSCA-IF,999995602,DR,Antonio,Antonio Acosta-vigil,Acosta-vigil
654609,germcells,MSCA-IF,999976978,DR,Priscila,Priscila Ramos ibeas,Ramos ibeas
654615,EVOPRIMPOL,MSCA-IF,999991722,DR,Rubén,Rubén Agudo torres,Agudo torres
654682,HOLES,MSCA-IF,999993468,DR,Jaime,Jaime Martín,Martín
654688,ActiDoC,MSCA-IF,999974941,DR,Nikolaos Nektarios,Nikolaos Nektarios Koumakis,Koumakis
654691,RESCUE THE HEART,MSCA-IF,99997562,DR,Svetlana,Svetlana Mastitskaya,Mastitskaya
654699,OPSINEVOL,MSCA-IF,99997562,DR,Natasha,Natasha Bloch,Bloch
654712,SINHOPSI,MSCA-IF,999977172,DR,Alessandro,Alessandro Rossi,Rossi
654719,lincPeptEvolDev,MSCA-IF,999979306,DR,Miriam,Miriam Rosenberg,Rosenberg
654721,GEOGRAL,MSCA-IF,999487807,DR,Giovanni,Giovanni Moreno,Moreno
654723,Solarfuels,MSCA-IF,99998435,DR,Jindui,Jindui Hong,Hong
654724,GROUPCOG,MSCA-IF,99998435,DR,Takao,Takao Sasaki,Sasaki
654731,ARD-West,MSCA-IF,99998629,DR,Maria-Jose,Maria-Jose Estaran,Estaran
654732,NICHE,MSCA-IF,99946734,PROF,Susi,Susi Geiger,Geiger
654732,NICHE,MSCA-IF,999974359,PROF,Susi,Susi Geiger,Geiger
654733,FOC4SIP,MSCA-IF,999896953,DR,Petro,Petro Lutsyk,Lutsyk
654734,SIW-SAT-ANTENNAS,MSCA-IF,999638739,DR,Christos,Christos Kalialakis,Kalialakis
654736,EPOCH GeoChem,MSCA-IF,999977172,DR,Argyroula,Argyroula Nafplioti,Nafplioti
654740,TRYP-QS,MSCA-IF,999974941,DR,Mathieu,Mathieu Cayla,Cayla
654761,BIOXYARN,MSCA-IF,999875031,DR,Pierre-Alexis,Pierre-Alexis Mouthuy,Mouthuy
654786,HOLOFRENPOSTMOD,MSCA-IF,999861451,DR,Agnieszka Helena,Agnieszka Helena Duffy,Duffy
654795,FAANon,MSCA-IF,999853012,DR,Matteo,Matteo Dalla Riva,Dalla Riva
654796,SAAB,MSCA-IF,992204077,DR,Fiona,Fiona Smyth,Smyth
654796,SAAB,MSCA-IF,999845446,DR,Fiona,Fiona Smyth,Smyth
654808,PSYCHOCONTEXT,MSCA-IF,996383904,DR,Francisco Jose,Francisco Jose Eiroa-Orosa,Eiroa-Orosa
654808,PSYCHOCONTEXT,MSCA-IF,999986387,DR,Francisco Jose,Francisco Jose Eiroa-Orosa,Eiroa-Orosa
654809,HSPACE,MSCA-IF,999896953,DR,Filipe,Filipe Ferreira,Ferreira
654812,HoogsCG,MSCA-IF,999977172,DR,Guillem,Guillem Portella,Portella
654818,ELECTRONANOMEGA,MSCA-IF,999990655,DR,Pedro Jesús,Pedro Jesús GARCÍA MORENO,GARCÍA MORENO
654825,ICELANDIC SCRIBES,MSCA-IF,999991043,DR,Sheryl,Sheryl Mcdonald werronen,Mcdonald werronen
654836,Bioelectroammonia,MSCA-IF,97531434,DR,Ross,Ross Milton,Milton
654836,Bioelectroammonia,MSCA-IF,999978045,DR,Ross,Ross Milton,Milton
654837,EACISD,MSCA-IF,992204077,DR,Ella,Ella Striem Amit,Striem Amit
654837,EACISD,MSCA-IF,999846222,DR,Ella,Ella Striem Amit,Striem Amit
654852,Chinese Labour,MSCA-IF,999849132,DR,Ivan,Ivan Franceschini,Franceschini
654852,Chinese Labour,MSCA-IF,999897341,DR,Ivan,Ivan Franceschini,Franceschini
654853,Egg-Juvenate,MSCA-IF,999975038,DR,Yonatan,Yonatan Tzur,Tzur
654857,VirtualPatients,MSCA-IF,996946019,DR,Inga,Inga Hege,Hege
654857,VirtualPatients,MSCA-IF,999978433,DR,Inga,Inga Hege,Hege
654860,TRANSLATIS,MSCA-IF,999991043,MS,Sabine,Sabine Walther,Walther
654861,DAM-NET,MSCA-IF,99990384,DR,Filippo,Filippo Menga,Menga
654862,WITHDRAWAL AFTERMATH,MSCA-IF,999839335,DR,Yuri,Yuri Peers,Peers
654882,TIPPDECRA,MSCA-IF,999985417,DR,Rachel,Rachel Spiering,Spiering
654889,ITNUN,MSCA-IF,999897341,DR,Veronica,Veronica West-Harling,West-Harling
654895,E-SPACE,MSCA-IF,999892588,DR,Unai,Unai Diaz Orueta,Diaz Orueta
654906,ALHIS,MSCA-IF,999991722,DR,María Leticia,María Leticia López-Mondéjar,López-Mondéjar
654908,PFCCMS,MSCA-IF,999974941,DR,Benno,Benno Liebchen,Liebchen
654909,T6SS-PSEUDO-LIP,MSCA-IF,999993468,DR,Laurent,Laurent Dortet,Dortet
654911,THALAMODEL,MSCA-IF,996120064,DR,Juan Eugenio,Juan Eugenio Iglesias González,Iglesias González
654912,Pharmcophore-DOS,MSCA-IF,999977172,DR,Qingzhong,Qingzhong Hu,Hu
654915,ALifeInSOFCs,MSCA-IF,999993468,DR,Antonio,Antonio Bertei,Bertei
654916,HydroCat,MSCA-IF,999974941,DR,Joost,Joost de Graaf,de Graaf
654917,BiBiCrossLang,MSCA-IF,996120064,DR,Marcel,Marcel Giezen,Giezen
654921,Phonetic Processing,MSCA-IF,996120064,DR,Olessia,Olessia Jouravlev,Jouravlev
654923,StrategicVillages,MSCA-IF,954347111,DR,Pamela,Pamela Colombo,Colombo
654923,StrategicVillages,MSCA-IF,999510117,DR,Pamela,Pamela Colombo,Colombo
654924,NANOLIPID,MSCA-IF,999991334,DR,Laura,Laura Salvia Trujillo,Salvia Trujillo
654925,EUP,MSCA-IF,999850781,DR,Tania,Tania Bazzani,Bazzani
654927,PALMOBI,MSCA-IF,999977172,DR,Luc,Luc Moreau,Moreau
654933,3Dconvert,MSCA-IF,999544455,MR,Ralph,Ralph Stadhouders,Stadhouders
654936,AntWatFre,MSCA-IF,999624092,DR,Konrad,Konrad Meister,Meister
654942,COGNAC,MSCA-IF,99999793,DR,Paolo,Paolo Davini,Davini
654963,ENSUR4LIFE,MSCA-IF,996491962,DR,Stefania Carmen,Stefania Carmen Bobaru,Bobaru
654967,NMOSPEC,MSCA-IF,99984467,MR,Petr,Petr Stepanek,Stepanek
654971,EXPMFSG,MSCA-IF,99999793,DR,Beatriz,Beatriz Seoane Bartolomé,Seoane Bartolomé
654981,GUIDES,MSCA-IF,998266092,MR,Stijn,Stijn Van de Velde,Van de Velde
654981,GUIDES,MSCA-IF,999478883,MR,Stijn,Stijn Van de Velde,Van de Velde
654985,Brain Metastases,MSCA-IF,99998435,DR,Vasiliki,Vasiliki Economopoulos,Economopoulos
654987,PADWIC,MSCA-IF,999979694,DR,Roberto,Roberto Quaglia,Quaglia
654990,CLOPRESS,MSCA-IF,999997833,DR,Yusuke,Yusuke KUMAI,KUMAI
654994,CAT-CAM,MSCA-IF,990867805,DR,Valentina,Valentina Ciciliot,Ciciliot
654994,CAT-CAM,MSCA-IF,999897341,DR,Valentina,Valentina Ciciliot,Ciciliot
655009,KOPAR,MSCA-IF,999974844,DR,Alexander,Alexander García-Castro,García-Castro
655016,EPINET,MSCA-IF,999896953,DR,Lucia,Lucia Quitadamo,Quitadamo
655020,DTI4micro,MSCA-IF,99998435,DR,Ernesto,Ernesto Zacur,Zacur
655023,BREAKING THE MOULD,MSCA-IF,999974359,DR,Barry,Barry Molloy,Molloy
655026,MENTAL IMAGERY,MSCA-IF,999977172,DR,Fritz,Fritz Renner,Renner
655026,MENTAL IMAGERY,MSCA-IF,99999017,DR,Fritz,Fritz Renner,Renner
655027,AutophagosomeSealing,MSCA-IF,999914801,DR,Rubén,Rubén Gómez Sánchez,Gómez Sánchez
655033,JUNO,MSCA-IF,999993468,DR,Giacomo,Giacomo Tarroni,Tarroni
655034,EXPRESSIONARRATION,MSCA-IF,999992013,DR,Marianne,Marianne Vergez-Couret,Vergez-Couret
655035,RhomBioID,MSCA-IF,99998435,DR,Kyojiro,Kyojiro Ikeda,Ikeda
655039,NANOSOLAR,MSCA-IF,999619436,DR,Oscar,Oscar Vazquez Mena,Vazquez Mena
655043,FeSensor,MSCA-IF,999985611,DR,Jorge,Jorge Rodriguez-Celma,Rodriguez-Celma
655059,PHOEBUS,MSCA-IF,999515355,DR,Margherita,Margherita Maiuri,Maiuri
655059,PHOEBUS,MSCA-IF,999879881,DR,Margherita,Margherita Maiuri,Maiuri
655063,ELiQSIR,MSCA-IF,999974068,DR,Bruno,Bruno Peaudecerf,Peaudecerf
655067,SHARE,MSCA-IF,999991043,DR,Thomas,Thomas Szanto,Szanto
655073,ClumpLab,MSCA-IF,999985805,DR,Martin,Martin Ziegler,Ziegler
655075,FAST-RAP,MSCA-IF,999572294,DR,Maria,Maria Górna,Górna
655092,DebtRisks,MSCA-IF,997927853,PROF,Stavros,Stavros Zenios,Zenios
655092,DebtRisks,MSCA-IF,999835843,PROF,Stavros,Stavros Zenios,Zenios
655100,AdaptClim,MSCA-IF,999979694,DR,Natalia,Natalia Sevane,Sevane
655109,DaRe,MSCA-IF,99990772,DR,Antonia,Antonia Wachter-Zeh,Wachter-Zeh
655119,MycoTest,MSCA-IF,968362253,DR,Michalina,Michalina Oplatowska-Stachowiak,Oplatowska-Stachowiak
655134,SOS-Nano,MSCA-IF,999864555,DR,Seta,Seta Noventa,Noventa
655135,CircaDopamine,MSCA-IF,999990849,DR,karim,karim FIFEL,FIFEL
655137,AUDICON,MSCA-IF,999991334,DR,Bertrand,Bertrand Fontaine,Fontaine
655138,FACADE FIRE,MSCA-IF,999976784,DR,Fei,Fei Tang,Tang
655142,CONSORT,MSCA-IF,999845446,DR,Mikhail,Mikhail Filatov,Filatov
655143,EMOTIONS FIRST,MSCA-IF,999974941,DR,laura,laura Candiotto,Candiotto
655150,BARREN,MSCA-IF,999991043,DR,Ângela,Ângela Ribeiro,Ribeiro
655153,IgEPath,MSCA-IF,999989976,DR,Philipp,Philipp Starkl,Starkl
655157,ICaRO,MSCA-IF,999997833,DR,Arin,Arin Marchesi,Marchesi
655159,MicroCity,MSCA-IF,999991334,MRS,Shinjini,Shinjini Mukherjee,Mukherjee
655161,Q-METAPP,MSCA-IF,999619436,MR,Jan,Jan Kolodynski,Kolodynski
655162,STROMINGER,MSCA-IF,999991722,DR,Mario,Mario Garcia Fernandez,Garcia Fernandez
655170,IILSCFLP,MSCA-IF,999993468,DR,Cameron,Cameron Weber,Weber
655172,WOODSofCHANGE,MSCA-IF,99998435,DR,Ana,Ana Milhinhos,Milhinhos
655176,BlaC E-assay,MSCA-IF,999842924,DR,Sunil,Sunil Arya,Arya
655177,MUSAL,MSCA-IF,999862324,PROF,Vladyslav,Vladyslav Danishevs'kyy,Danishevs'kyy
655178,HerbivoreAssociatedOrganisms,MSCA-IF,999981634,DR,Antonino,Antonino Cusumano,Cusumano
655179,TeraClear,MSCA-IF,999861451,DR,Konstantin,Konstantin Lekomtsev,Lekomtsev
655194,CANCER-TECH,MSCA-IF,999892588,DR,Komal,Komal Bagga,Bagga
655204,EasyEBC,MSCA-IF,999902579,DR,Paul,Paul Kotyczka,Kotyczka
655209,ILDS,MSCA-IF,955310127,PROF,Yonghui,Yonghui Xia,Xia
655212,UBPDS,MSCA-IF,955310127,DR,Yilei,Yilei Tang,Tang
655222,Walgo,MSCA-IF,999991043,DR,Jean-Yves,Jean-Yves Moyen,Moyen
655226,BIHC,MSCA-IF,999580539,DR,Rui,Rui Antunes,Antunes
655226,BIHC,MSCA-IF,99997465,DR,Rui,Rui Antunes,Antunes
655227,InnoMarket,MSCA-IF,998706666,DR,Benedikte,Benedikte Borgström,Borgström
655232,ReprObesity,MSCA-IF,999872703,DR,Juan Manuel,Juan Manuel Castellano-Rodriguez,Castellano-Rodriguez
655235,SmartMass,MSCA-IF,999851169,DR,Ramón,Ramón Escobedo,Escobedo
655238,Human Rpc5,MSCA-IF,999460841,DR,Guillermo,Guillermo Abascal Palacios,Abascal Palacios
655239,HAP4MARBLE,MSCA-IF,999515355,DR,Enrico,Enrico Sassoni,Sassoni
655239,HAP4MARBLE,MSCA-IF,999993953,DR,Enrico,Enrico Sassoni,Sassoni
655240,Terra-Micro-Carbo,MSCA-IF,906446474,DR,Ashish,Ashish Malik,Malik
655240,Terra-Micro-Carbo,MSCA-IF,9999892,DR,Ashish,Ashish Malik,Malik
655249,3DNCPM,MSCA-IF,999974747,DR,Ioanna,Ioanna Sakellari,Sakellari
655262,CITISEX,MSCA-IF,954530344,DR,Wouter,Wouter Halfwerk,Halfwerk
655265,PmSust,MSCA-IF,999985417,DR,Luca,Luca Sabini,Sabini
655271,EpiNKT,MSCA-IF,99945861,DR,Michail,Michail Verykokakis,Verykokakis
655272,HISTORIC,MSCA-IF,999984059,MR,romain,romain Cariou,Cariou
655274,PEDIGREE,MSCA-IF,991657094,DR,Dennis,Dennis Badeen,Badeen
655278,GenoSpec,MSCA-IF,999907235,DR,Noppol,Noppol Kobmoo,Kobmoo
655279,ResolvedJetsHIC,MSCA-IF,999988133,DR,Konrad,Konrad Tywoniuk,Tywoniuk
655282,HiDDaProTImA,MSCA-IF,999977172,DR,Francesco,Francesco Renna,Renna
655283,3DWISE,MSCA-IF,999597417,DR,Milena,Milena Marjanovic,Marjanovic
655285,IMFDforHIC,MSCA-IF,999978724,DR,Harri,Harri Niemi,Niemi
655292,MOTOR SIMULATION,MSCA-IF,99946734,DR,Anat,Anat Perry,Perry
655292,MOTOR SIMULATION,MSCA-IF,999975038,DR,Anat,Anat Perry,Perry
655295,NLRs,MSCA-IF,999990267,MS,Rui,Rui Wu,Wu
655297,STOPAPCG1IMP,MSCA-IF,999977172,DR,Torcato José,Torcato José Martins,Martins
655310,LDMRD,MSCA-IF,999974262,DR,Tuomas,Tuomas Sahlsten,Sahlsten
655316,GLOBAL INHERITANCES,MSCA-IF,999510117,DR,Alessandro,Alessandro Buono,Buono
655324,GOFAR,MSCA-IF,950038953,PROF,Ehud,Ehud Behar,Behar
655324,GOFAR,MSCA-IF,99990772,PROF,Ehud,Ehud Behar,Behar
655331,PALEO-AGRI,MSCA-IF,999978336,DR,charline,charline Giguet-covex,Giguet-covex
655334,HyLITE,MSCA-IF,999992013,DR,Leila,Leila Moura,Moura
655339,DPETNA,MSCA-IF,99965552,DR,Javier,Javier Garcia Serrano,Garcia Serrano
655341,LARP4MOT,MSCA-IF,999981052,DR,Isabel,Isabel Cruz Gallardo,Cruz Gallardo
655350,NPCChr,MSCA-IF,999974941,MRS,Charlene,Charlene Lemaitre,Lemaitre
655360,BHstabNL,MSCA-IF,999986387,DR,Helvi,Helvi Witek,Witek
655366,PLICO,MSCA-IF,999898311,DR,Noemi,Noemi Ruiz lopez,Ruiz lopez
655367,TUNEMODE,MSCA-IF,999896953,DR,Mohd Zamani Bin,Mohd Zamani Bin Zulkifli,Zulkifli
655369,SEQOO,MSCA-IF,992204077,DR,Jan,Jan Gieseler,Gieseler
655369,SEQOO,MSCA-IF,999619436,DR,Jan,Jan Gieseler,Gieseler
655374,ACCESS2WM,MSCA-IF,99998435,DR,Frederik (Freek),Frederik (Freek) van Ede,van Ede
655379,Art and Brain,MSCA-IF,999866883,DR,Matthew,Matthew Pelowski,Pelowski
655392,SexDiff,MSCA-IF,99997562,DR,Rebecca,Rebecca Dean,Dean
655394,ResMet,MSCA-IF,99995622,DR,Anna,Anna Dudek,Dudek
655396,COPAST,MSCA-IF,99998435,DR,Charlotte,Charlotte Ribeyrol,Ribeyrol
655398,ARBUATEM,MSCA-IF,999907526,DR,Blaise-Pascal,Blaise-Pascal Bougnom,Bougnom
655406,ROOT BARRIERS,MSCA-IF,999462587,DR,Concepcion,Concepcion Manzano,Manzano
655406,ROOT BARRIERS,MSCA-IF,99946734,DR,Concepcion,Concepcion Manzano,Manzano
655417,GATTACA,MSCA-IF,99999308,DR,Maxime,Maxime Rotival,Rotival
655421,HYDIN,MSCA-IF,999994535,DR,Anselm,Anselm Loges,Loges
655423,NIBSAD,MSCA-IF,999615168,DR,Jesús,Jesús Cespón,Cespón
655424,Inflammafish,MSCA-IF,999974553,MRS,Mónica,Mónica Varela,Varela
655429,PoetEleg,MSCA-IF,999847677,DR,Anna,Anna Ananieva,Ananieva
655444,ATMCinsituNMR,MSCA-IF,999977172,DR,Oliver,Oliver Pecher,Pecher
655457,Metabolic cost of walking,MSCA-IF,954530344,DR,Dinant,Dinant Kistemaker,Kistemaker
655459,PleisTechnoVar,MSCA-IF,999977172,DR,Alice,Alice Leplongeon,Leplongeon
655474,FluoroCAT,MSCA-IF,999993468,DR,Olga,Olga Ekkert,Ekkert
655475,JELLYPACTS,MSCA-IF,999991722,DR,Ana,Ana Ruiz Frau,Ruiz Frau
655478,NeoGenHeritage,MSCA-IF,999839626,DR,Gloria,Gloria Gonzalez Fortes,Gonzalez Fortes
655480,MuMoSiSt,MSCA-IF,999850781,DR,alessandro,alessandro Spila,Spila
655487,GENOMIC FOOTPRINT,MSCA-IF,99946734,DR,Ben,Ben Wielstra,Wielstra
655487,GENOMIC FOOTPRINT,MSCA-IF,999976881,DR,Ben,Ben Wielstra,Wielstra
655489,Next-COMM,MSCA-IF,999705087,DR,Christos,Christos Verzyrtzis,Verzyrtzis
655492,Digiseal,MSCA-IF,999981052,DR,Alessio,Alessio Sopracasa,Sopracasa
655497,NNL,MSCA-IF,999991043,DR,Joseph,Joseph Bull,Bull
655502,CARDI-ACHE,MSCA-IF,998079949,DR,Thijs,Thijs Eijsvogels,Eijsvogels
655508,COMMANDEER,MSCA-IF,999975717,DR,VYDYULA PAVAN,VYDYULA PAVAN Kumar,Kumar
655515,UFOX,MSCA-IF,9999795,DR,Wojciech,Wojciech Brzezicki,Brzezicki
655516,Bump-BET,MSCA-IF,999975523,DR,Kwok-Ho,Kwok-Ho Chan,Chan
655524,FDtoQG,MSCA-IF,999976978,DR,Antonin,Antonin Coutant,Coutant
655527,Leucophyl,MSCA-IF,94973544,DR,Nitin,Nitin DANGE,DANGE
655534,SmartCloudsODC,MSCA-IF,997848313,DR,Giorgio,Giorgio Mingotti,Mingotti
655537,RAVE,MSCA-IF,9999795,DR,Ester,Ester Eckert,Eckert
655541,HISTHEOL,MSCA-IF,999978336,DR,Stefan,Stefan Bauer,Bauer
