projectRcn,projectID,participationId,projectAcronym,role,id,name,WikiOrganization,shortName,activityType,endOfParticipation,ecContribution,country,WikiCountry,street,WikiStreet,city,WikiCity,postCode
201304,705217,705217999466467,UPR,partner,999466467,BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,,STANFORD,HES,false,,United States of America,http://www.wikidata.org/entity/Q30,SERRA MALL 450,,Stanford,https://www.wikidata.org/entity/Q951131,94305 2004
201304,705217,705217999985708,UPR,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,162864.6,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
215046,792202,792202999985708,LOFUPRO,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,165598.8,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
193633,639217,639217999985708,CSINEUTRONSTAR,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,1499999,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
225067,841188,841188999985708,AAT,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,175572.48,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
195250,656333,656333999985708,PEACEFUL MIND,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,177598.8,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
230777,956107,956107999991043,EPOC,participant,999991043,University of Copenhagen,http://www.wikidata.org/entity/Q186285,UCPH,HES,false,595044,Denmark,http://www.wikidata.org/entity/Q35,NORREGADE 10,,Copenhagen,https://www.wikidata.org/entity/Q1748,1165
230777,956107,956107999897341,EPOC,participant,999897341,Ca' Foscari University of Venice,http://www.wikidata.org/entity/Q1546906,UNIVE,HES,false,522999.36,Italy,http://www.wikidata.org/entity/Q38,DORSODURO 3246,,Venice,https://www.wikidata.org/entity/Q641,30123
230777,956107,956107999859123,EPOC,participant,999859123,University of Paris 1 Pantheon-Sorbonne,http://www.wikidata.org/entity/Q999763,UP1,HES,false,549604.08,France,http://www.wikidata.org/entity/Q142,Institut Cujas,https://www.wikidata.org/entity/Q49480190,Paris,https://www.wikidata.org/entity/Q90,75231
230777,956107,956107999986484,EPOC,participant,999986484,Autonomous University of Barcelona,http://www.wikidata.org/entity/Q43452,UAB,HES,false,501809.76,Spain,http://www.wikidata.org/entity/Q29,CALLE CAMPUS UNIVERSITARIO SN CERDANYOLA V,,Cerdanyola del Vallès,https://www.wikidata.org/entity/Q13922,08290
230777,956107,956107999854370,EPOC,coordinator,999854370,Bielefeld University,http://www.wikidata.org/entity/Q24382,UNIBI,HES,false,758365.2,Germany,http://www.wikidata.org/entity/Q183,UNIVERSITAETSSTRASSE 25,,Bielefeld,https://www.wikidata.org/entity/Q2112,33615
230777,956107,956107999915771,EPOC,participant,999915771,Università Cattolica del Sacro Cuore,http://www.wikidata.org/entity/Q229022,UCSC,HES,false,522999.36,Italy,http://www.wikidata.org/entity/Q38,EduCatt,https://www.wikidata.org/entity/Q19750507,Milan,https://www.wikidata.org/entity/Q490,20123
230777,956107,956107999985708,EPOC,participant,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,531239.76,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
226057,852990,852990999985708,N-EXTLAW,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,1498733,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
225599,853394,853394999975426,ALPHA,participant,999975426,University of Leeds,http://www.wikidata.org/entity/Q503424,UNIVLEEDS,HES,false,109695.66,United Kingdom,http://www.wikidata.org/entity/Q145,"53, Woodhouse Lane",https://www.wikidata.org/entity/Q26407920,Leeds,https://www.wikidata.org/entity/Q39121,LS2 9JT
225599,853394,853394999985708,ALPHA,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,1371682.34,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
229284,897004,897004999466467,ISLand,partner,999466467,BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,,STANFORD,HES,false,,United States of America,http://www.wikidata.org/entity/Q30,SERRA MALL 450,,Stanford,https://www.wikidata.org/entity/Q951131,94305 2004
229284,897004,897004999985708,ISLand,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,253052.16,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
227898,892314,892314999985708,REWA,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,175572.48,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
193691,640159,640159999985708,MST,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,1256624,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
197492,647209,647209999985708,Psychosystems,coordinator,999985708,University of Amsterdam,http://www.wikidata.org/entity/Q214341,UvA,HES,false,1959690,Netherlands,http://www.wikidata.org/entity/Q55,SPUI 21,,Amsterdam,https://www.wikidata.org/entity/Q727,1012WX
218672,813547,813547999848938,MIDA,participant,999848938,University of Marburg,http://www.wikidata.org/entity/Q155354,UMR,HES,false,252788.4,Germany,http://www.wikidata.org/entity/Q183,BIEGENSTRASSE 10,,Maribor,https://www.wikidata.org/entity/Q1010,35037
218672,813547,813547999974553,MIDA,participant,999974553,Leiden University,http://www.wikidata.org/entity/Q156598,ULEI,HES,false,265619.88,Netherlands,http://www.wikidata.org/entity/Q55,"Rapenburg 70-74, Leiden",https://www.wikidata.org/entity/Q17339242,Leiden,https://www.wikidata.org/entity/Q33456378,2311 EZ
218672,813547,813547909019011,MIDA,partner,909019011,RUCKRIEM PHILIPP,,PS - Media & Consulting,PRC,false,,Germany,http://www.wikidata.org/entity/Q183,SCHLIEMANNSTR. 45,,Berlin,https://www.wikidata.org/entity/Q64,10437
218672,813547,813547954530344,MIDA,participant,954530344,Museum Boijmans Van Beuningen,http://www.wikidata.org/entity/Q679527,STICHTING VU,HES,false,265619.88,Netherlands,http://www.wikidata.org/entity/Q55,DE BOELELAAN 1105,,Amsterdam,https://www.wikidata.org/entity/Q727,1081 HV
218672,813547,813547999992110,MIDA,participant,999992110,Stichting Katholieke Universiteit,http://www.wikidata.org/entity/Q1939260,RUMC,HES,false,265619.88,Netherlands,http://www.wikidata.org/entity/Q55,Huize Heijendaal,https://www.wikidata.org/entity/Q2548039,Nijmegen,https://www.wikidata.org/entity/Q13188714,6525 EZ
218672,813547,813547999882015,MIDA,partner,999882015,University of Granada,http://www.wikidata.org/entity/Q1232180,UGR,HES,false,,Spain,http://www.wikidata.org/entity/Q29,CUESTA DEL HOSPICIO SN,,Granada,https://www.wikidata.org/entity/Q8810,18071
218672,813547,813547999991722,MIDA,participant,999991722,AGENCIA ESTATAL CONSEJO SUPERIOR DEINVESTIGACIONES CIENTIFICAS,,CSIC,REC,false,752714.64,Spain,http://www.wikidata.org/entity/Q29,"Palacete, calle de Serrano, Madrid",https://www.wikidata.org/entity/Q28058791,Madrid,https://www.wikidata.org/entity/Q2807,28006
218672,813547,813547999859123,MIDA,partner,999859123,University of Paris 1 Pantheon-Sorbonne,http://www.wikidata.org/entity/Q999763,UP1,HES,false,,France,http://www.wikidata.org/entity/Q142,Institut Cujas,https://www.wikidata.org/entity/Q49480190,Paris,https://www.wikidata.org/entity/Q90,75231
218672,813547,813547968268454,MIDA,partner,968268454,Brill Publishers,http://www.wikidata.org/entity/Q917031,KONINKLIJKE BRILL NV,PRC,false,,Netherlands,http://www.wikidata.org/entity/Q55,PLANTIJNSTRAAT 2,,Leiden,https://www.wikidata.org/entity/Q33456378,2321 JC
218672,813547,813547995549995,MIDA,partner,995549995,University of Sarajevo,http://www.wikidata.org/entity/Q572286,UNSA,HES,false,,Bosnia and Herzegovina,http://www.wikidata.org/entity/Q225,Sarajevo National Theatre,https://www.wikidata.org/entity/Q597948,Sarajevo,https://www.wikidata.org/entity/Q11194,71000
