"Producto","Tipo","NIF","Adjudicatario","Fecha","Cantidad Pedido","Cantidad Recibido","Cantidad Pendiente","Importe del Pedido","Importe Pagado","Importe Pendiente"
"GAFAS DE PROTECCION","SUMINISTRO","***3520**","MANUEL PEREZ TALAVERA","16/03/2020","3","3","0","26","26","0","21%"
"GAFAS DE PROTECCION","SUMINISTRO","***3520**","MANUEL PEREZ TALAVERA","16/03/2020","1","1","0","23","23","0","21%"
"CALZAS","SUMINISTRO","A08630063","IBERHOSPITEX, S.A.","16/03/2020","32800","32800","0","1969","1969","0","21%"
"Tubos alargadores","SUMINISTRO","A08630063","IBERHOSPITEX, S.A.","16/03/2020","2460","2460","0","1783","1783","0","21%"
"SUDARIO","SUMINISTRO","A28017895","EL CORTE INGLES, S.A.","16/03/2020","105","105","0","20370","20370","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","250","250","0","299","299","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","108","108","0","185","185","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","30","30","0","436","436","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","50","50","0","375","375","0","21%"
"Fij/suj/acc.ventiltp","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","40","40","0","228","228","0","21%"
"Inst.des.general","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","10","10","0","363","363","0","21%"
"Inst.des.general","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","20","20","0","600","600","0","0%"
"Inst.des.general","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","200","200","0","1210","1210","0","21%"
"Nebuliz./humidific.","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","1575","1575","0","2763","2763","0","21%"
"Termó/sensor reg.dat","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","552","552","0","4642","4642","0","21%"
"Tubos admón.O2","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","375","375","0","1342","1342","0","21%"
"Tubos admón.O2","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","25","25","0","258","258","0","21%"
"Tubos traqueales","SUMINISTRO","A28389484","MEDTRONIC IBERICA, S.A.","16/03/2020","150","150","0","118","118","0","0%"
