Creation Date,Purchase Date,Fiscal Year,LPA Number,Purchase Order Number,Requisition Number,Acquisition Type,Sub-Acquisition Type,Acquisition Method,Sub-Acquisition Method,Department Name,wikidataDepartment,Supplier Code,Supplier Name,Supplier Qualifications,Supplier Zip Code,CalCard,Item Name,Identifier2,Item Description,Quantity,Unit Price,Total Price,Normalized UNSPSC,Commodity Title,Class,Class Title,Family,Family Title,Segment,Segment Title,Latitude,Longitude
2015-01-16T00:00:00Z,2015-01-14T00:00:00Z,2014-2015,1-14-97-32,9.90515E+11,,NON-IT Goods,,Statewide Contract,,California Department of Transportation,http://www.wikidata.org/entity/Q127743,1718,ALBRIGHT SEED COMPANY,CA-SB,93012,NO,traffic sign,traffic sign55121710,traffic sign,1,5530.44,5530.44,55121710,Traffic signs,55121700,Signage,55120000,Signage and accessories,55000000,Published Products,34.216668,-118.990368
2015-06-09T00:00:00Z,2015-06-08T00:00:00Z,2014-2015,1-14-97-32,762,,NON-IT Goods,,Statewide Contract,,California Department of Transportation,http://www.wikidata.org/entity/Q127743,1718,ALBRIGHT SEED COMPANY,CA-SB,93012,NO,traffic sign,traffic sign55121710,traffic sign,1,6008.82,6008.82,55121710,Traffic signs,55121700,Signage,55120000,Signage and accessories,55000000,Published Products,34.216668,-118.990368
2014-09-17T00:00:00Z,2014-09-17T00:00:00Z,2014-2015,1-14-89-43,4500251219,,NON-IT Goods,,Statewide Contract,,California Department of Corrections and Rehabilitation,http://www.wikidata.org/entity/Q5020415,34872,Adolph Inc.,CA-SB,93720,NO,prunes,prunes50325801,prunes,1,9009,9009,50325801,Dried amber jewel plums,50325800,Dried plums,50320000,Dried fruit,50000000,Food Beverage and Tobacco Products,36.85932,-119.759328
2014-12-26T00:00:00Z,2014-11-24T00:00:00Z,2014-2015,1-14-89-69,4500259630,,NON-IT Goods,,Statewide Contract,,California Department of Corrections and Rehabilitation,http://www.wikidata.org/entity/Q5020415,28553,INTERSECT USA,CA-MB CA-SB SB,91355,NO,BEANS,BEANS50421844,beans,1,11675.7,11675.7,50421844,Dried pinto beans,50421800,Dried beans,50420000,Dried vegetables,50000000,Food Beverage and Tobacco Products,34.416351,-118.574425
2014-12-10T00:00:00Z,2014-12-09T00:00:00Z,2014-2015,1-14-97-32,9.91115E+11,,NON-IT Goods,,Statewide Contract,,California Department of Transportation,http://www.wikidata.org/entity/Q127743,1718,ALBRIGHT SEED COMPANY,CA-SB,93012,NO,traffic sign,traffic sign55121710,traffic sign,1,7074.98,7074.98,55121710,Traffic signs,55121700,Signage,55120000,Signage and accessories,55000000,Published Products,34.216668,-118.990368
2015-04-06T00:00:00Z,2015-04-03T00:00:00Z,2014-2015,1-15-89-59,4500276227,,NON-IT Goods,,Statewide Contract,,California Department of Corrections and Rehabilitation,http://www.wikidata.org/entity/Q5020415,34872,Adolph Inc.,CA-SB,93720,NO,grains,grains50221101,grains,1,5935,5935,50221101,Cereal grains,50221100,Cereals,50220000,Cereal and pulse products,50000000,Food Beverage and Tobacco Products,36.85932,-119.759328
2014-07-25T00:00:00Z,2014-07-25T00:00:00Z,2014-2015,1-10-68-13,S4708004,,NON-IT Goods,,Statewide Contract,,California Department of Parks and Recreation,http://www.wikidata.org/entity/Q2933976,29677,California Veteran Supply Inc.,CA-DVBE CA-SB CDVBE,93612,NO,Weedar 64,Weedar 6410171701,2.5 gallon jugs,32,20.7,662.4,10171701,Weed killer,10171700,Herbicides,10170000,Fertilizers and plant nutrients and herbicides,10000000,Live Plant and Animal Material and Accessories and Supplies,36.815415,-119.711438
2014-07-25T00:00:00Z,2014-07-25T00:00:00Z,2014-2015,1-10-68-13,S4708004,,NON-IT Goods,,Statewide Contract,,California Department of Parks and Recreation,http://www.wikidata.org/entity/Q2933976,29677,California Veteran Supply Inc.,CA-DVBE CA-SB CDVBE,93612,NO,Round Up Pro Custom,Round Up Pro Custom12352402,2.5 Gallon Jug,360,23.2,8352,12352402,Inorganic chemical mixtures,12352400,Mixtures,12350000,Compounds and mixtures,12000000,Chemicals including Bio Chemicals and Gas Materials,36.815415,-119.711438
2014-07-03T00:00:00Z,2014-07-03T00:00:00Z,2014-2015,1-09-75-41B,71500000004,,NON-IT Goods,,Statewide Contract,,California Department of Transportation,http://www.wikidata.org/entity/Q127743,56613,STAY SAFE SUPPLY,CA-DVBE,95762,NO,Paper,Paper14111507,"Recycled bond, 20 lb, 8.5x11",160,30.06,4809.6,14111507,Printer or copier paper,14111500,Printing and writing paper,14110000,Paper products,14000000,Paper Materials and Products,38.682162,-121.064452
2014-07-09T00:00:00Z,2014-07-01T00:00:00Z,2014-2015,1-13-89-50,4500235999,,NON-IT Goods,,Statewide Contract,,California Department of Corrections and Rehabilitation,http://www.wikidata.org/entity/Q5020415,17520,Seacat Enterprises,CA-SB,90274,NO,Buns,Buns50181901,Buns,1,10854,10854,50181901,Fresh bread,50181900,Bread and biscuits and cookies,50180000,Bread and bakery products,50000000,Food Beverage and Tobacco Products,33.779784,-118.375432
