Code,Description,GovernmentRequester,AwardProcedure,TypeOfContract,BiddingPrice,AwardPrice,Company
CONAD20177500000046,obras adecuación oficinas inaga zaragoza,INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL,Por administración,Obras,7160.69,7160.69,EXPO ZARAGOZA EMPRESARIAL S.A.
CONAD20171800000239,"seguridad sede departamento educación, cultura y deporte en expo","EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Servicios,77077.0,75411.0,ILUNION SEGURIDAD S.A.
CONAD20171800000298,compra prendas trabajo guardería infantil santa maria del pilar,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,216.55,216.55,ANATOMICOS MADRID S.L.
CONLT20171600000006,materiales para cromatografía líquidos y generalidades,SANIDAD,Abierto,Suministros,36964.0,42361.34,SUMINISTROS MATERIAL Y APARATOS DE
CONLT20171600000007,materiales para cromatografía gases e icp-ms,SANIDAD,Abierto,Suministros,17015.8,17736.6,ALFAQUIMIA SL
CONLT20171600000008,materiales para cromatografía iónica,SANIDAD,Abierto,Suministros,15762.66,15644.3,JAVIER SOLANAS LABOARAGON SL
CONLT20171600000009,material general laboratorio,SANIDAD,Abierto,Suministros,36103.07,28678.35,VIDRA FOC S.A.
CONAD20175500000022,vigilancia y seguridad residencias juveniles iaj 2017,INSTITUTO ARAGONÉS DE LA JUVENTUD,Derivado de acuerdo marco,Servicios,55920.78,55920.78,GARDA SERVICIOS DE SEGURIDAD S.A.
CONMY20177500000054,i-170018 mantenimiento aplicaciones cartograficas inf. georreferenciada,INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL,Negociado,Servicios,23850.0,23832.0,SOFTWARE GRUPO V SL
CONAD20171800000307,compra prendas trabajo santo angel custodio,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,881.38,881.38,EL CORTE INGLES S.A.
CONAD20171800000308,compra prendas trabajo santo angel custodio,"EDUCACIÓN, CULTURA Y DEPORTE",Derivado de acuerdo marco,Suministros,286.45,286.45,ANATOMICOS MADRID S.L.
CONAD20175100000121,suministro pesacartas para espacio empresas,INSTITUTO ARAGONÉS DE EMPLEO,Derivado de acuerdo marco,Suministros,57.0,29.0,SOLITIUM S.L.
