"Obj";"Organo";"Procedimiento de adjudicación";"Tipo de contrato";"Importe de licitación";"Importe de adjudicación";"Instrumento de publicación";"Número de licitadores";"Identidad del adjudicatario";"Ejercicio";"Código Expediente";"M"
"Obras adecuación oficinas INAGA ZARAGOZA";"INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL";"Por administración";"Obras";"7.160,69";"7.160,69";"https://servicios.aragon.es/pcon/pcon-public/";"";"EXPO ZARAGOZA EMPRESARIAL
S.A.";"2017";"CONAD20177500000046";""
"Seguridad sede Departamento Educación, Cultura y Deporte en Expo";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Servicios";"77.077,00";"75.411,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"ILUNION SEGURIDAD
S.A.";"2017";"CONAD20171800000239";""
"COMPRA PRENDAS TRABAJO GUARDERÍA INFANTIL SANTA MARIA DEL PILAR";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"216,55";"216,55";"https://servicios.aragon.es/pcon/pcon-public/";"";"ANATOMICOS MADRID
S.L.";"2017";"CONAD20171800000298";""
"MATERIALES PARA CROMATOGRAFÍA LÍQUIDOS Y GENERALIDADES";"SANIDAD";"Abierto";"Suministros";"36.964,00";"42.361,34";"https://servicios.aragon.es/pcon/pcon-public/";"";"SUMINISTROS MATERIAL Y APARATOS DE";"2017";"CONLT20171600000006";""
"MATERIALES PARA CROMATOGRAFÍA GASES E ICP-MS";"SANIDAD";"Abierto";"Suministros";"17.015,80";"17.736,60";"https://servicios.aragon.es/pcon/pcon-public/";"";"ALFAQUIMIA SL";"2017";"CONLT20171600000007";""
"MATERIALES PARA CROMATOGRAFÍA IÓNICA";"SANIDAD";"Abierto";"Suministros";"15.762,66";"15.644,30";"https://servicios.aragon.es/pcon/pcon-public/";"";"JAVIER SOLANAS LABOARAGON SL";"2017";"CONLT20171600000008";""
"MATERIAL GENERAL LABORATORIO";"SANIDAD";"Abierto";"Suministros";"36.103,07";"28.678,35";"https://servicios.aragon.es/pcon/pcon-public/";"";"VIDRA FOC S.A.";"2017";"CONLT20171600000009";""
"VIGILANCIA Y SEGURIDAD RESIDENCIAS JUVENILES IAJ 2017";"INSTITUTO ARAGONÉS DE LA JUVENTUD";"Derivado de acuerdo marco";"Servicios";"55.920,78";"55.920,78";"https://servicios.aragon.es/pcon/pcon-public/";"";"GARDA SERVICIOS DE SEGURIDAD
S.A.";"2017";"CONAD20175500000022";""
"I-170018 MANTENIMIENTO APLICACIONES CARTOGRAFICAS INF. GEORREFERENCIADA";"INSTITUTO ARAGONÉS DE GESTIÓN AMBIENTAL";"Negociado";"Servicios";"23.850,00";"23.832,00";"https://servicios.aragon.es/pcon/pcon-public/";"";"SOFTWARE GRUPO V
SL";"2017";"CONMY20177500000054";""
"COMPRA PRENDAS TRABAJO SANTO ANGEL CUSTODIO";"EDUCACIÓN, CULTURA Y DEPORTE";"Derivado de acuerdo marco";"Suministros";"881,38";"881,38";"https://servicios.aragon.es/pcon/pcon-public/";"";"EL CORTE INGLES S.A.";"2017";"CONAD20171800000307";""
