OrderID,Producto,ProductURI,OrderItemID,Tipo,NIF,Company,matchedOrganizations,Adjudicatario,OrganizationURI,Fecha,CantidadPedido,CantidadRecibido,CantidadPendiente,ImportePedido,ImportePagado,ImportePendiente,totalVAT
GAFAS_DE_PROTECCION_MANUEL_PEREZ_TALAVERA_2020-03-16T00:00Z,GAFAS DE PROTECCION,GAFAS_DE_PROTECCION,GAFAS_DE_PROTECCION_MANUEL_PEREZ_TALAVERA,Product,***3520**,MANUEL PEREZ TALAVERA,,MANUEL PEREZ TALAVERA,MANUEL_PEREZ_TALAVERA,2020-03-16T00:00:00Z,4.0,4.0,0.0,49.0,49.0,0,21
CALZAS_IBERHOSPITEX_SA_2020-03-16T00:00Z,CALZAS,CALZAS,CALZAS_IBERHOSPITEX_SA,Product,A08630063,"IBERHOSPITEX, S.A.",,"IBERHOSPITEX, S.A.",IBERHOSPITEX_SA,2020-03-16T00:00:00Z,32800.0,32800.0,0.0,1969.0,1969.0,0,21
Tubos_alargadores_IBERHOSPITEX_SA_2020-03-16T00:00Z,Tubos alargadores,Tubos_alargadores,Tubos_alargadores_IBERHOSPITEX_SA,Product,A08630063,"IBERHOSPITEX, S.A.",,"IBERHOSPITEX, S.A.",IBERHOSPITEX_SA,2020-03-16T00:00:00Z,2460.0,2460.0,0.0,1783.0,1783.0,0,21
SUDARIO_EL_CORTE_INGLES_SA_2020-03-16T00:00Z,SUDARIO,SUDARIO,SUDARIO_EL_CORTE_INGLES_SA,Product,A28017895,"EL CORTE INGLES, S.A.",Q623133,El Corte Inglés,EL_CORTE_INGLES_SA,2020-03-16T00:00:00Z,105.0,105.0,0.0,20370.0,20370.0,0,21
Fij/suj/acc_ventiltp_MEDTRONIC_IBERICA_SA_2020-03-16T00:00Z,Fij/suj/acc.ventiltp,Fij/suj/acc_ventiltp,Fij/suj/acc_ventiltp_MEDTRONIC_IBERICA_SA,Product,A28389484,"MEDTRONIC IBERICA, S.A.",Q642189,Medtronic plc,MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,478.0,478.0,0.0,1523.0,1523.0,0,21
Inst_des_general_MEDTRONIC_IBERICA_SA_2020-03-16T00:00Z,Inst.des.general,Inst_des_general,Inst_des_general_MEDTRONIC_IBERICA_SA,Product,A28389484,"MEDTRONIC IBERICA, S.A.",Q642189,Medtronic plc,MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,230.0,230.0,0.0,2173.0,2173.0,0,21
Nebuliz_/humidific__MEDTRONIC_IBERICA_SA_2020-03-16T00:00Z,Nebuliz./humidific.,Nebuliz_/humidific_,Nebuliz_/humidific__MEDTRONIC_IBERICA_SA,Product,A28389484,"MEDTRONIC IBERICA, S.A.",Q642189,Medtronic plc,MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,1575.0,1575.0,0.0,2763.0,2763.0,0,21
Termó/sensor_reg_dat_MEDTRONIC_IBERICA_SA_2020-03-16T00:00Z,Termó/sensor reg.dat,Termó/sensor_reg_dat,Termó/sensor_reg_dat_MEDTRONIC_IBERICA_SA,Product,A28389484,"MEDTRONIC IBERICA, S.A.",Q642189,Medtronic plc,MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,552.0,552.0,0.0,4642.0,4642.0,0,21
Tubos_admón_O2_MEDTRONIC_IBERICA_SA_2020-03-16T00:00Z,Tubos admón.O2,Tubos_admón_O2,Tubos_admón_O2_MEDTRONIC_IBERICA_SA,Product,A28389484,"MEDTRONIC IBERICA, S.A.",Q642189,Medtronic plc,MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,400.0,400.0,0.0,1600.0,1600.0,0,21
Tubos_traqueales_MEDTRONIC_IBERICA_SA_2020-03-16T00:00Z,Tubos traqueales,Tubos_traqueales,Tubos_traqueales_MEDTRONIC_IBERICA_SA,Product,A28389484,"MEDTRONIC IBERICA, S.A.",Q642189,Medtronic plc,MEDTRONIC_IBERICA_SA,2020-03-16T00:00:00Z,310.0,310.0,0.0,911.0,911.0,0,0
