Ao;Mes;Descripcin Centro;Organismo;Nmero Contrato;Nmero Expediente;Descripcin Contrato;Tipo Contrato;Procedimiento Adjudicacin;Artculo;Apartado;Criterios Adjudicacin;Presupuesto Total(IVA Incluido);Importe Adjudicacin (IVA Incluido);Plazo;Fecha Adjudicacin;Nombre/Razn Social;NIF/CIF Adjudicatario;Fecha Formalizacin;Acuerdo Marco;Ingreso/Coste Cero;Observaciones;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000001;MDC/2019/00177;ESPECTACULO TEATRAL QUIEN ES EL SR SCHMITT EN LA SALA PRINCIPAL DEL TEATRO DEL 16 DE OCTUBRE AL 10 DE NOVIEMBRE (T.ESPAOL);Servicios;Negociado sin publicidad;168;a) apartado 2;;362802.00;185975.62;1.93;13/09/2019;EL ANGEL DE PEKIN;B82917063;13/09/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000002;CCV/2019/00643;GESTION DEL AREA DE FITNESS DEL CCVM, SA. ;Servicios;Abierto;;;Pluralidad de criterios;423500.00;405350.00;12;04/09/2019;CORPORAFIT SL;B82686817;17/09/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000003;CCV/2019/00907;SERVICIO DE DELEGADO DE CAMPOS DE HOCKEY PARA LOS PARTIDOS ;Servicios;Abierto;;;Un unico criterio;21780.00;21780.00;18;25/11/2019;DANIEL PAGLILLA HAM;54477104V;27/11/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000004;CCV/2019/00955;SERVICIO ASISTENCIA TECNICA ESPECIALIZADA PARA PROGRAMACION Y ORGANIZACION DE SERVICIOS Y ACTIVIDADES SOCIOCULTURALES;Servicios;Abierto;;;Pluralidad de criterios;520300.00;409977.91;22;10/09/2019;HARTFORD, S.L.;B59416479;29/10/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000005;CCV/2019/01180;REPARACION DE LA CUBIERTA Y DE REFORMA INTERIOR DEL EDIFICIO DE LA CUADRA N.6 DEL CCVM, SA;Obras;Abierto;;;Pluralidad de criterios;339063.24;338579.24;5;30/09/2019;CONSTRUCCIONES TABOADA Y RAMOS SL;B36052876;09/10/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000006;MDC/2019/00225;"ORGANIZACION, EJECUCION Y REPRESENTACION DE ESPECTACULOS DENTRO DEL CICLO DE POESIA CONTEMPORANEA ""POETICA CONTEMPORANEA"" EN TEATRO FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA";Servicios;Negociado sin publicidad;168;a) apartado 2;;32461.88;32461.88;6.2;22/11/2019;ASOCIACION CULTURAL LIBRE EXPRESION ARTISITICA - L.E.A.;G87400339;10/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000007;MDC/2019/00224;PR19-0436 REPRESENTACION ARTISTICA TEATRAL REBOTA REBOTA Y EN TU CARA EXPLOTA EN LA SALA MARGARITA XIRGU  DEL 26 DE DICIEMBRE DE 2019 AL 4 DE ENERO DE 2020(T.ESPAOL);Servicios;Negociado sin publicidad;168;a) apartado 2;;20570.00;20570.00;1.5;19/11/2019;ASSOCIACIO CULTURAL ELCLIMAMOLA;G63850283;20/11/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000008;EMT/2019/00079;SUMINISTRO MAQUINA DE 1 EXPENDEDORA EPIS, 3 ESTACIONES AUTOMATICAS DE RECUPERACION, RECICLAJE, VACIO Y CARGA PARA GAS 134,  2 ASPIRADORAS Y 11 ALFOMBRAS ANTIFATIGA - LOTE 1;Suministro;Abierto simplificado;;;Un unico criterio;14520.00;14520.00;3;06/11/2019;GESTION Y NEGOCIOS EUREKA S.L.;B74072695;02/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000009;EMT/2019/00079;SUMINISTRO MAQUINA DE 1 EXPENDEDORA EPIS, 3 ESTACIONES AUTOMATICAS DE RECUPERACION, RECICLAJE, VACIO Y CARGA PARA GAS 134,  2 ASPIRADORAS Y 11 ALFOMBRAS ANTIFATIGA - LOTE 3;Suministro;Abierto simplificado;;;Un unico criterio;895.40;798.60;3;06/11/2019;FERRETERIA IBERMADRID, S.A.;A80887201;02/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000010;EMT/2019/00079;SUMINISTRO MAQUINA DE 1 EXPENDEDORA EPIS, 3 ESTACIONES AUTOMATICAS DE RECUPERACION, RECICLAJE, VACIO Y CARGA PARA GAS 134,  2 ASPIRADORAS Y 11 ALFOMBRAS ANTIFATIGA - LOTE 2;Suministro;Abierto simplificado;;;Un unico criterio;12705.00;10762.95;3;06/11/2019;ALCANER 2000, S.L.U.;B81952913;02/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000011;EMT/2019/00079;SUMINISTRO MAQUINA DE 1 EXPENDEDORA EPIS, 3 ESTACIONES AUTOMATICAS DE RECUPERACION, RECICLAJE, VACIO Y CARGA PARA GAS 134,  2 ASPIRADORAS Y 11 ALFOMBRAS ANTIFATIGA - LOTE 4;Suministro;Abierto simplificado;;;Un unico criterio;2129.60;1642.05;3;06/11/2019;FERRETERIA UNCETA, S.A.;A20020277;02/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000012;MDC/2019/00226;"CREACION, DESARROLLO Y EJECUCION DEL PROYECTO ARTISTICO ""HAZ QUE SUENE"" EN ESPACIO ABIERTO LA QUINTA DE LOS MOLINOS";Servicios;Negociado sin publicidad;168;a) apartado 2;;29051.00;29050.96;7.5;13/12/2019;ACCION SOCIAL POR LA MUSICA;G86780525;16/12/2019; ;;;;;;;;;;
2020;Enero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000013;EVS/2019/00060;SERVICIOS DE ESTUDIOS DE TOPOGRAFIA PARA LAS PARCELAS T10BC, M34B, T6B, T6A Y M5C DEL UZI 02.01 DESARROLLO DEL ESTE-EL CAAVERAL EN EL DISTRITO DE VICALVARO DE MADRID CORRESPONDIENTE A LAS PROMOCIONES CAAVERAL 08, CAAVERAL 09, CAAVERAL 10, CAAVERAL 11, CAAVERAL 12, PROMOVIDO POREMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;Servicios;Abierto simplificado;;;Pluralidad de criterios;5445.00;3267.00;0.7;10/12/2019;NAHU TOPOGRAFIA GLOBAL, S.L.;B86872579;16/12/2019; ;;;;;;;;;;
