contract-number,award-date,expiry-date,gsin,gsin-description_en,supplier-legal-name,supplier-address-city,wikiCity-Supplier,supplier-address-prov-state,supplier-address-postal-code,supplier-address-country,organization-employee-count_en,total-contract-value,end-user-entity_en,wikiEndUserEntity,contracting-entity-office-name_en,contracting-address-city,wikiCity-EndUser,contracting-address-prov-state,contracting-address-postal-code,contracting-address-country
01044-200486-001-EEM,2020-03-26T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,HCL Canada Inc.,Mississauga,http://www.wikidata.org/entity/Q50816,Ontario,ONTARIO,Canada,5000 employees and over,47644.0,Agriculture and Agri-Food Canada,http://www.wikidata.org/entity/Q1046164,CSB ASSET MGNT&CAPTL PLANNING,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0C5,Canada
01044-200794-001-EEM,2020-03-26T00:00:00Z,2021-03-31T00:00:00Z,N7030,ADP Software,FENESTRAE INC.,Norcross,http://www.wikidata.org/entity/Q2581974,Georgia,30092,United States of America,1 to 4 employees,38704.0,Agriculture and Agri-Food Canada,http://www.wikidata.org/entity/Q1046164,CSB ASSET MGNT&CAPTL PLANNING,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0C5,Canada
01B30-180394-001-MTA,2020-03-31T00:00:00Z,2019-04-30T00:00:00Z,N6640,Laboratory Equipment and Supplies,Laval Lab Inc.,Laval,http://www.wikidata.org/entity/Q141810,Quebec,H7T2R2,Canada,5 to 9 employees,4082220.0,Agriculture and Agri-Food Canada,http://www.wikidata.org/entity/Q1046164,N/A,Saint-Hyacinthe,http://www.wikidata.org/entity/Q141873,Quebec,J2S8E3,Canada
08025-190711-001-LS,2020-03-27T00:00:00Z,2020-09-30T00:00:00Z,V201A,Fixed Wing Aircraft - Airplane Charter,WestJet,Calgary,http://www.wikidata.org/entity/Q36312,Alberta,T2E3J1,Canada,5000 employees and over,500000.0,Global Affairs Canada,http://www.wikidata.org/entity/Q3315371,XDM MGNT SERVS DIV.,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0G2,Canada
08843-170520-001-EE,2020-03-26T00:00:00Z,2019-03-31T00:00:00Z,N7030,ADP Software,Rosetta Stone Ltd.,Harrisonburg,http://www.wikidata.org/entity/Q511935,Virginia,22801,United States of America,1500 to 2499 employees,200511.0,Global Affairs Canada,http://www.wikidata.org/entity/Q3315371,CSNE MGMT SERVS UNIT,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0G2,Canada
08843-190381-001-EE,2020-03-31T00:00:00Z,2021-03-21T00:00:00Z,N7030,ADP Software,ESRI Canada Limited,Toronto,http://www.wikidata.org/entity/Q172,Ontario,M3C3R8,Canada,200 to 499 employees,614245.0,Global Affairs Canada,http://www.wikidata.org/entity/Q3315371,CSNE MGMT SERVS UNIT,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0G2,Canada
08843-190401-001-EE,2020-03-31T00:00:00Z,2021-03-11T00:00:00Z,N7030,ADP Software,ESRI Canada Limited,Toronto,http://www.wikidata.org/entity/Q172,Ontario,M3C3R8,Canada,200 to 499 employees,20397.0,Global Affairs Canada,http://www.wikidata.org/entity/Q3315371,CSNE MGMT SERVS UNIT,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0G2,Canada
08843-190610-001-EE,2020-03-26T00:00:00Z,2021-03-26T00:00:00Z,N7030,ADP Software,CDW Canada INC,Stittsville Ward,http://www.wikidata.org/entity/Q7617682,Ontario,K2S1G9,Canada,200 to 499 employees,477338.0,Global Affairs Canada,http://www.wikidata.org/entity/Q3315371,CSNE MGMT SERVS UNIT,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0G2,Canada
08843-190670-001-EE,2020-03-26T00:00:00Z,2021-03-30T00:00:00Z,N7030,ADP Software,Open Text Corporation,Waterloo,http://www.wikidata.org/entity/Q142289,Ontario,N2L0A1,Canada,2500 to 4999 employees,102746.0,Global Affairs Canada,http://www.wikidata.org/entity/Q3315371,CSNE MGMT SERVS UNIT,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0G2,Canada
08915-190630-001-PI,2020-03-31T00:00:00Z,2021-04-30T00:00:00Z,D317E,Information Products,Agence France-Presse,Montreal,http://www.wikidata.org/entity/Q340,Quebec,H2X1N6,Canada,5 to 9 employees,38325.0,Global Affairs Canada,http://www.wikidata.org/entity/Q3315371,AICF ACCOUNTS PAYABLE,Ottawa,http://www.wikidata.org/entity/Q25246576,Ontario,K1A0G2,Canada
